Unnamed: 0	community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
27	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_etoh_e	0.25	0.25	1	0.0625	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
28	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_fe2_e	0.25	0.75	1	0.1875	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
29	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_fe3_e	0.25	0.24	1	0.06	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
30	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
31	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_glu__L_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
32	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_gthrd_e	0.25	0.02	1	0.005	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
33	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_h2_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
34	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_h2s_e	0.25	0.5	1	0.125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
35	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_h_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
36	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_nh4_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
37	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_pi_e	0.25	0.99	1	0.2475	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
38	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_ppap_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
39	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_arg__L_e	0.25	0.03	1	0.0075	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
40	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_etoh_e	0.25	0.25	1	0.0625	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
41	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_fe2_e	0.25	0.75	1	0.1875	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
42	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_fe3_e	0.25	0.24	1	0.06	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
43	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
44	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_glu__L_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
45	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_gthrd_e	0.25	0.02	1	0.005	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
46	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_h2s_e	0.25	0.5	1	0.125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
47	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_h_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
48	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_nh4_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
49	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_pi_e	0.25	0.99	1	0.2475	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
50	all	minimal	Flavobacterium_fluvii_DSM_19978_	Rhodoferax_saidenbachensis_DSM_22694_	M_ppap_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
51	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_4hba_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
52	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_acald_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
53	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_arg__L_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
54	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_etoh_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
55	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_fe2_e	0.3333333333333333	0.37	1	0.1233333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
56	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_fe3pyovd_kt_e	0.3333333333333333	0.64	1	0.2133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
57	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_for_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
58	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_glc__D_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
59	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_glyald_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
60	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_glyc_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
61	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_gua_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
62	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_h2s_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
63	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_h_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
64	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_no2_e	0.3333333333333333	0.27	1	0.09	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
65	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_o2_e	0.3333333333333333	0.73	1	0.2433333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
66	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_pi_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
67	all	minimal	Geobacter_daltonii_FRC_32_	Bacillus_circulans_NBRC_13626_	M_val__L_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
68	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_4hba_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
69	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_acald_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
70	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_alaala_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
71	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_arg__L_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
72	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_asp__L_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
73	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_cys__L_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
74	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_etoh_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
75	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_fe2_e	0.3333333333333333	0.37	1	0.1233333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
76	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_fe3pyovd_kt_e	0.3333333333333333	0.64	1	0.2133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
77	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_glc__D_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
78	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_gly_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
79	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_glyald_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
80	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_glyc_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
81	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_gthrd_e	0.3333333333333333	0.03	1	0.0099999999999999	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
82	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_h2_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
83	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_h2s_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
84	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_h_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
85	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_met__L_e	0.3333333333333333	0.06	1	0.0199999999999999	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
86	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_pi_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
87	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_tsul_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
88	all	minimal	Geobacter_daltonii_FRC_32_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_val__L_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
89	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_acald_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
90	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_alaala_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
91	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_arg__L_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
92	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_cys__L_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
93	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_etoh_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
94	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_fe2_e	0.3333333333333333	0.37	1	0.1233333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
95	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_fe3pyovd_kt_e	0.3333333333333333	0.64	1	0.2133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
96	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_glyc_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
97	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_gthrd_e	0.3333333333333333	0.03	1	0.0099999999999999	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
98	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_gua_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
99	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_h2s_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
100	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_h_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
101	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_met__L_e	0.3333333333333333	0.06	1	0.0199999999999999	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
102	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_pi_e	0.3333333333333333	0.04	1	0.0133333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
103	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_s_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
104	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_so3_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
105	all	minimal	Geobacter_daltonii_FRC_32_	Rhodoferax_saidenbachensis_DSM_22694_	M_tsul_e	0.3333333333333333	0.02	1	0.0066666666666666	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
106	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_acald_e	0.125	0.02	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
107	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_arg__L_e	0.125	0.02	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
108	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_fe2_e	0.125	0.04	1	0.005	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
109	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_fe3pyovd_kt_e	0.125	0.03	1	0.00375	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
110	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_gal_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
111	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_glyc_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
112	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_h2o_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
113	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_h2s_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
114	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_o2_e	0.125	0.99	1	0.12375	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
115	all	minimal	Kutzneria_albida_DSM_43870_	Bacillus_circulans_NBRC_13626_	M_pi_e	0.125	0.04	1	0.005	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
116	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_acald_e	0.125	0.02	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
117	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_alaala_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
118	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_arg__L_e	0.125	0.02	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
119	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_cys__L_e	0.125	0.53	1	0.06625	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
120	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_fe2_e	0.125	0.04	1	0.005	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
121	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_fe3pyovd_kt_e	0.125	0.03	1	0.00375	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
122	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_glyc_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
123	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_h2o_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
124	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_h2s_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
125	all	minimal	Kutzneria_albida_DSM_43870_	Flavobacterium_fluvii_DSM_19978_	M_ile__L_e	0.125	0.01	1	0.00125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
